,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson,total_2
ConvertedCompYearly,1.00,0.00,-0.01,0.00,0.01,0.00,0.03,0.00,0.01,0.00,-0.01,0.00,0.03,0.01,-0.01,0.01,0.02,0.02,0.00,0.01,0.00,-0.02,0.03,0.01,0.00,0.00,0.03,0.00,0.00,-0.02,0.00,0.01,0.01,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,-0.01,0.00,-0.01,0.00,0.02,0.01,0.00,0.00,0.02,-0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,-0.02,0.00,0.01,0.02,0.01,0.01,-0.01,-0.01,-0.01,0.02,0.03,0.03,0.00,0.01,-0.01,0.02
C++,0.00,1.00,-0.10,-0.12,0.09,0.00,0.04,0.20,0.27,0.53,0.04,0.14,-0.08,0.12,-0.10,0.04,0.06,-0.04,0.03,-0.06,0.12,0.16,-0.01,0.06,0.05,0.06,0.06,0.00,0.02,0.02,0.01,-0.04,0.01,0.04,0.03,-0.02,0.02,0.01,0.06,-0.06,0.10,-0.06,-0.05,-0.01,-0.09,-0.02,0.01,0.03,-0.04,0.01,-0.01,0.01,0.01,-0.02,0.00,-0.04,0.05,-0.04,-0.05,-0.04,-0.10,0.00,-0.07,0.01,0.01,-0.04,-0.05,0.00,-0.04,-0.03,0.01,-0.06,-0.03,-0.09,-0.01,0.01,0.00,0.02,0.08
HTML/CSS,-0.01,-0.10,1.00,0.56,0.00,0.21,0.01,-0.05,-0.01,-0.06,-0.03,-0.03,0.28,0.07,0.24,0.13,0.01,0.33,0.12,0.08,0.02,-0.03,-0.01,-0.04,0.00,-0.02,0.00,-0.03,0.04,0.04,0.00,-0.05,-0.02,0.00,0.01,0.01,0.01,0.03,0.03,0.08,0.08,0.05,0.10,0.18,0.13,0.04,0.10,0.10,0.01,0.01,0.11,-0.01,0.03,0.10,0.07,0.20,0.04,0.19,0.31,0.20,0.25,0.15,0.09,0.07,0.00,0.15,0.03,0.08,0.17,0.11,0.08,0.14,0.10,0.04,0.06,0.11,0.01,0.02,0.45
JavaScript,0.00,-0.12,0.56,1.00,0.02,0.20,0.03,-0.08,-0.02,-0.08,-0.07,-0.02,0.37,0.05,0.22,0.11,0.06,0.43,0.09,0.12,0.00,-0.06,0.00,-0.06,0.00,-0.02,0.02,-0.02,0.05,0.00,0.01,-0.04,-0.01,-0.01,0.02,0.04,0.02,0.02,0.03,0.14,0.07,0.10,0.15,0.18,0.10,0.03,0.15,0.10,0.08,0.03,0.14,0.00,0.01,0.12,0.06,0.20,0.04,0.22,0.33,0.26,0.38,0.17,0.12,0.07,0.02,0.16,0.07,0.07,0.16,0.12,0.08,0.17,0.10,0.14,0.09,0.13,0.00,0.01,0.51
Objective-C,0.01,0.09,0.00,0.02,1.00,0.08,0.47,0.00,0.05,0.10,0.01,0.01,0.03,0.04,-0.01,0.01,0.09,0.05,0.00,0.04,0.06,0.00,0.15,0.00,0.02,0.03,0.04,0.01,0.07,0.01,0.01,0.01,0.04,0.03,0.02,0.03,0.03,0.02,0.04,0.01,0.11,0.01,0.02,0.05,-0.02,0.02,0.05,0.04,0.02,0.03,0.10,0.02,0.01,0.06,0.04,0.00,0.00,0.02,0.02,0.04,0.01,0.04,0.01,0.02,0.01,0.00,0.02,0.02,0.00,0.03,0.08,0.04,0.01,0.03,0.04,0.05,0.01,0.06,0.16
PHP,0.00,0.00,0.21,0.20,0.08,1.00,0.05,0.00,0.02,0.02,-0.02,-0.03,0.03,0.07,0.17,-0.01,0.01,0.15,0.04,0.01,0.11,-0.01,0.01,-0.01,0.01,0.04,0.02,-0.04,0.02,0.05,-0.02,-0.02,0.00,-0.01,-0.01,0.00,0.01,0.02,0.04,0.01,0.11,0.05,0.09,0.39,0.00,0.02,0.06,0.34,0.01,0.02,0.05,0.01,0.02,0.45,0.29,0.04,-0.01,0.19,0.28,0.08,0.07,0.07,0.01,0.04,0.01,-0.03,0.00,0.03,0.01,0.06,0.27,0.06,0.00,0.10,0.06,0.17,0.03,0.03,0.32
Swift,0.03,0.04,0.01,0.03,0.47,0.05,1.00,0.00,0.02,0.06,0.00,0.03,0.06,0.00,-0.03,-0.02,0.07,0.07,-0.02,0.04,0.02,0.01,0.23,0.01,0.02,0.00,0.03,-0.01,0.10,-0.01,0.01,-0.01,0.03,0.02,0.02,0.05,0.03,0.03,0.04,0.02,0.11,0.01,0.02,0.03,-0.03,-0.01,0.06,0.01,0.03,0.04,0.19,0.01,0.00,0.04,0.02,0.02,0.00,0.03,0.01,0.06,0.04,0.03,0.02,0.03,0.01,-0.02,0.02,0.04,-0.01,0.03,0.04,0.06,0.00,0.03,0.07,0.06,0.01,0.04,0.16
Python,0.00,0.20,-0.05,-0.08,0.00,0.00,0.00,1.00,0.10,0.21,0.14,0.11,-0.08,0.23,0.01,-0.15,0.08,0.02,0.02,-0.03,0.08,0.12,0.03,0.08,0.06,-0.04,0.13,0.07,0.02,0.02,0.06,-0.02,0.02,0.05,0.01,-0.01,0.00,-0.02,0.00,0.13,0.14,0.08,0.05,0.06,-0.13,0.00,0.06,0.07,0.08,0.01,0.00,0.03,-0.01,-0.01,0.01,-0.07,0.35,-0.01,-0.07,0.02,-0.02,-0.03,-0.07,0.28,0.16,-0.16,0.00,0.01,-0.15,0.01,-0.01,0.02,-0.06,0.11,0.09,0.05,0.02,0.04,0.20
Assembly,0.01,0.27,-0.01,-0.02,0.05,0.02,0.02,0.10,1.00,0.38,0.04,0.15,-0.03,0.12,-0.02,0.02,0.06,0.00,0.04,0.00,0.11,0.10,0.03,0.04,0.11,0.05,0.06,0.03,0.01,0.04,0.02,-0.01,0.04,0.09,0.04,0.03,0.07,0.03,0.11,-0.01,0.08,-0.02,-0.02,0.03,-0.04,0.03,0.03,0.05,-0.01,0.03,0.01,0.02,0.02,0.01,0.03,-0.02,0.05,0.01,0.01,0.01,-0.04,0.01,-0.01,0.02,0.02,-0.03,0.01,0.02,-0.01,-0.01,0.04,0.00,-0.01,-0.01,0.03,0.05,0.01,0.05,0.15
C,0.00,0.53,-0.06,-0.08,0.10,0.02,0.06,0.21,0.38,1.00,0.04,0.19,-0.08,0.17,-0.08,-0.01,0.07,-0.02,0.03,-0.01,0.19,0.16,0.02,0.06,0.09,0.04,0.11,0.01,0.04,0.02,0.02,-0.02,0.03,0.09,0.02,0.01,0.05,0.02,0.06,-0.02,0.12,-0.02,-0.02,0.02,-0.09,0.01,0.01,0.07,-0.03,0.03,0.01,0.03,0.01,-0.02,0.02,-0.05,0.09,-0.03,-0.03,-0.02,-0.09,-0.02,-0.04,0.03,0.03,-0.08,-0.02,0.02,-0.07,-0.02,0.03,-0.03,-0.04,-0.05,0.02,0.03,0.04,0.05,0.14
