,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
Unnamed: 0,1.0,1.0,-0.009613433884483364,-0.03133592864609772,0.006400980122483267,0.01440077993732462,-0.0202054417029553,0.0035798992860068446,-0.0052702686590819425,-0.011257152539536243,-0.018499438581213445,-0.03731528813034178,0.03179623000834442,-0.12376796162356953,-0.03352003492812358,-0.02376998105555429,-0.008733948742750502,-0.014286613455595065,0.006460396051113721,0.005094184476487165,-0.014451759556631045,0.014031891944343481,-0.015422468840689485,-0.0006025152524423242,-0.02206919310840166,0.05268220502710362,-0.011639936488320188,-0.02465428035219337,-0.02959371495232443,0.011299389121155046,-0.00446556011711433,-0.011788221964308879,-0.003766921861979864,0.12074664699221199,-0.017086116942970995,0.022850827843274624,-0.02249224124333219,0.010388709048892667,0.011774816619859659,0.007641221345366236,0.023696722034555192,0.007749297227944414,-0.029463931516431282,-0.007204781402996506,-0.009517173960911311,0.017211193927447757,0.001462968741372447,0.006333811829964172,0.010272535563190499,0.0018114567951173744,0.008003576959126435,-0.004184141165199003,0.013523435635246762,0.0077648776570618016,0.010512024926206847,-0.005373426426826452,0.0033164004587743633,0.020716853527101526,0.006693028882901331,-0.018522244539060474,0.005851230550695217,0.011450547593906481,0.015599035527879588,-0.006177183983431722,0.017083730908143597,0.012845036562689167,0.008755321095617292,0.0009164086113316158,0.01303847413545143,-0.001248420239956299,0.002618940772656039,-0.016326011924496946,0.008506616356302319,0.02316445875810085,0.003265330853014734,0.014732650949670011,-0.020750523470254245,0.003961459479856482,-0.005330733250947005,0.013714182626837946
ResponseId,1.0,1.0,-0.009613433884483364,-0.03133592864609772,0.006400980122483267,0.01440077993732462,-0.0202054417029553,0.0035798992860068446,-0.0052702686590819425,-0.011257152539536243,-0.01849943858121344,-0.03731528813034178,0.03179623000834442,-0.12376796162356953,-0.03352003492812358,-0.02376998105555429,-0.008733948742750502,-0.014286613455595065,0.006460396051113721,0.005094184476487165,-0.014451759556631045,0.014031891944343481,-0.015422468840689485,-0.0006025152524423242,-0.02206919310840166,0.05268220502710362,-0.011639936488320193,-0.02465428035219337,-0.029593714952324424,0.011299389121155046,-0.00446556011711433,-0.011788221964308879,-0.003766921861979864,0.12074664699221199,-0.017086116942970995,0.022850827843274624,-0.02249224124333219,0.010388709048892667,0.011774816619859659,0.007641221345366236,0.023696722034555192,0.007749297227944414,-0.029463931516431282,-0.007204781402996506,-0.009517173960911311,0.017211193927447757,0.001462968741372447,0.006333811829964172,0.010272535563190499,0.0018114567951173744,0.008003576959126435,-0.004184141165199003,0.013523435635246762,0.0077648776570618016,0.010512024926206847,-0.005373426426826452,0.0033164004587743633,0.020716853527101526,0.006693028882901331,-0.018522244539060474,0.005851230550695217,0.011450547593906481,0.015599035527879588,-0.006177183983431722,0.017083730908143597,0.012845036562689167,0.008755321095617292,0.0009164086113316158,0.01303847413545143,-0.001248420239956299,0.002618940772656039,-0.016326011924496946,0.008506616356302319,0.02316445875810085,0.003265330853014734,0.014732650949670016,-0.020750523470254252,0.003961459479856482,-0.005330733250947005,0.013714182626837946
ConvertedCompYearly,-0.009613433884483364,-0.009613433884483364,1.0,0.02822950501257217,-0.125469106535287,-0.0812061554171282,0.04345011916627944,-0.10674912697881443,0.03655118310817737,0.034668892831953506,0.01810897185158247,0.02287276972549098,-0.03713255255098392,0.06378042021372436,0.022844273279513973,0.07643880584297977,-0.06805867854437773,-0.10074416731325546,0.06603541796881358,0.0021946823339406302,-0.06615127109020465,0.08762237467909485,0.02071764825345533,-0.020435300285739536,0.035429029839842814,0.008925851131433038,0.015384643837765444,-0.028195826586923316,0.13610225998782358,0.09609200084374367,-0.012033726478560313,-0.07540273732871774,0.07418468404374641,0.10811772733763031,0.023980234694184168,0.021566626029904144,0.010433400539370571,0.0554586284273256,0.04714014781902273,0.0035435118315832776,-0.01238143292342854,0.10947522015033273,0.014090696169757755,0.12683627440288897,0.1346267404009195,-0.05240723057142203,-0.12677894568069198,-0.06048476958522298,6.187485579611367e-05,-0.017753126987959295,0.15977250438172033,0.027462547504700428,-0.015881381727532107,0.06879295879738753,-0.031059745540981384,-0.06037774832654435,-0.0333961955414007,-0.039461412725984295,0.026200245642532496,-0.05094947036207691,-0.10383806186736952,0.0012193524631565096,0.026406322927686236,-0.022751204114406443,0.0667722902898981,-0.012731435101462935,0.023723793401470628,-0.06866668322721854,0.013344501237486667,0.02148786347313106,-0.09272236436162484,0.004445815360614341,-0.03889495210348571,0.00680917009750692,-0.023068143500939515,0.16031509840456828,0.08147098530721579,0.003712599497848258,0.010329704123107403,0.02299498642752729
C++,-0.03133592864609772,-0.03133592864609772,0.02822950501257217,1.0,-0.09820645498528063,-0.12750803309251008,0.09569409991495892,0.0035647087886100364,0.03706400467910141,0.19605612255603228,0.26003726816641826,0.5309312510853662,0.02915746123725256,0.12819762779774685,-0.0841822537948484,0.11985439921637128,-0.10389327834050642,0.03693015146575053,0.06297790986990455,-0.03465516260373054,0.030210311605319153,-0.05619002140054137,0.12465218494238031,0.16759407631115916,-0.010913887126600224,0.04651855147152792,0.036280322895686334,0.05432072177748593,0.055732666381968936,-0.011483679840296348,0.013934131683649828,0.025282440378278936,0.005964198439226071,-0.05070247170948475,0.00419529218590661,0.035700250093667917,0.030023597600640908,-0.027592497449501693,0.008685056569432328,0.010273181771988703,0.04998524034723665,-0.05964450130663283,0.09807115092391046,-0.04839436552317208,-0.05309135847526383,0.003948318548252231,-0.08609853743959751,-0.014191074075164678,0.013208088174107976,0.026533728429722424,-0.03742418076475641,0.017937393789854775,-0.008351267130006116,0.009168024530215807,0.0023753811318610652,-0.018821247995934976,0.0010081421593613686,-0.03796046208000482,0.05309914431669736,-0.04321231817405,-0.04563376928383852,-0.03606687210602417,-0.11066608030920724,0.001736342956335974,-0.0787982615044718,0.021471710345321908,-0.0009951052685964348,-0.04796817643231219,-0.040393397979777965,-0.002473325723787481,-0.04646042395244226,-0.02964389801185939,0.00864232518577116,-0.05546010535695073,-0.03504083899709352,-0.08053198460424979,-0.01347960014892563,0.015751698743256725,-0.0011814993708776816,0.01625246912425615
HTML/CSS,0.006400980122483267,0.006400980122483267,-0.125469106535287,-0.09820645498528063,1.0,0.5555251556442552,0.0014122794690752069,0.19341550115628522,0.004461048646119133,-0.048641888991726695,0.00875372292317996,-0.06639718493122282,-0.021315847224823388,-0.022929815251995764,0.2958546719653271,0.07546372791582644,0.23502586119457608,0.12381331900786532,0.002748184665272943,0.3309868152980358,0.12424291351819537,0.07510339040058779,0.01685689964362804,-0.029439616286544214,-0.027732350724541756,-0.0383695548191888,-0.003567693404778072,-0.02228279968487323,0.002879493614930965,-0.02883631936406014,0.03445803747462687,0.040951657445834184,-0.0009096860029224697,-0.05211036663172125,-0.011110622785885389,-0.0026762984752156218,0.003519082236849148,0.003383302706897892,0.003692109522491446,0.02655693658743687,0.026155744814019454,0.0685430831622033,0.07415468817321749,0.04396376206331949,0.10493019349969517,0.1687911814178281,0.13371230560439334,0.04312553757963925,0.10484473768829905,0.09639888241973672,0.016245049570465065,0.008079668275826549,0.10844157708082529,-0.010785851683749553,0.015680867400400905,0.0928831839076207,0.06584654541185453,0.20172270764914527,0.032343065311838365,0.18400358346571122,0.31011572724013986,0.19854078763009958,0.25533673406623625,0.16305240216012132,0.08422438834874874,0.06767991615977685,-0.00812724799881935,0.14896594964651175,0.023323651745236436,0.07896780904254103,0.16796818803449684,0.11282592132499454,0.0799220839922522,0.12891806846360404,0.11278927223749798,0.035479678528534744,0.06616871342992982,0.09733511933922066,0.003198442316231437,0.015529977921287538
JavaScript,0.01440077993732462,0.01440077993732462,-0.0812061554171282,-0.12750803309251008,0.5555251556442552,1.0,0.019367188670572535,0.19871157760796634,0.02140703181133563,-0.07946895481845151,-0.021257627660585133,-0.09742413936353336,-0.07684802847130967,-0.015016571020184407,0.3783797636423619,0.041406796065289395,0.21434973880659275,0.10124571476826644,0.05393837823519123,0.43345020032271864,0.08052756110162652,0.11811774410341751,0.002078623804480448,-0.05230887076881123,-0.011376330849035238,-0.05835662880714457,-0.002086174460203442,-0.02808407432498314,0.027357490321011847,-0.01730764071300512,0.05073426280935021,7.543210604806866e-05,0.013781545574019782,-0.03984882315592662,-0.014307303762538593,-0.01413716230949593,0.0173831740763216,0.03973314353083961,0.013388666895641919,0.009200571656570122,0.026189323453442933,0.13426611527534452,0.07349775146583772,0.1050073008463185,0.15785106348566003,0.17182288434829876,0.10779866511444575,0.02103199580222296,0.14788678512068884,0.09732986995252703,0.07455484828917831,0.034396420690882376,0.13048574313492084,-0.0004598178587076214,0.0020835697578964465,0.11663226828744962,0.06217317394263822,0.2013209728078123,0.031486997272947924,0.22649593552229058,0.3315915543726602,0.25939154866363345,0.3844010644395676,0.17339786804096044,0.12644236120339303,0.05933224460308288,0.018836939996403956,0.15783532272545198,0.06478860408111328,0.06824172541076742,0.16185798789589464,0.11744364295676714,0.07750372725741415,0.16677301080587134,0.10750061759455633,0.1415823199403481,0.10221588839095237,0.1227687594546685,-0.005026093506666241,0.006317578140294157
Objective-C,-0.0202054417029553,-0.0202054417029553,0.04345011916627944,0.09569409991495892,0.0014122794690752069,0.019367188670572535,1.0,0.08137938393186654,0.4697028902332428,-0.005293376923046869,0.04038977608731895,0.09903422957790387,-0.005533350645030442,-0.00012359883555103075,0.027712446187164973,0.033556382087624924,-0.01734143004407461,0.008797729312818765,0.0917084893229971,0.046961566106897716,-0.0063110076912696505,0.03722825471069644,0.06845968534277828,-0.005452578608763772,0.14355890763368018,-0.013011860732324975,0.0031024804695338436,0.01697694020579607,0.04003321495782253,-0.001357354027535555,0.07287283248037162,0.008076279765098775,0.009909944775576248,-0.011505610479139115,0.01864738275723591,0.024849952568230284,-0.0024791297754884188,0.01735536892816873,0.01466077432484509,0.009403430986508173,0.018756716556498187,0.006902452164837792,0.1146026290481886,0.0114337626940532,0.026954226847789413,0.048740143463770334,-0.012809793246061985,0.012681166235018174,0.04290405636162507,0.025359216281435133,0.017292059291273153,0.022649355319325794,0.1023191300859754,0.005895580285269612,-0.006246082043737325,0.06846104327944169,0.04303226301998798,0.003709663152761064,0.007009319831523491,0.018268678844656605,0.01989970939630843,0.04040589460739569,0.014114590502008962,0.03454418970728648,0.020346351070218233,0.014843146622609736,0.005088721699950329,0.00707452168242371,0.018605219012875426,0.011912133247651628,0.003937903230557699,0.01924386315463829,0.08114583325646652,0.044075938862442154,0.01472992249111802,0.02816168049155062,0.03715630899163281,0.04005417187460926,-0.00334534934453423,0.044388129849320127
PHP,0.0035798992860068446,0.0035798992860068446,-0.10674912697881443,0.0035647087886100364,0.19341550115628522,0.19871157760796634,0.08137938393186654,1.0,0.03955012636685795,0.0017540917169992063,0.011590085247627151,0.014813382247806026,-0.01597136521350136,-0.025623927574235365,0.036109721293717714,0.069118144311542,0.1617130734793196,-0.014296329215517472,0.005787234102735938,0.1520867529979962,0.03586878322681908,0.022633314017751822,0.10387728124814528,-0.007550589074002635,-0.002016166500018845,-0.013549487615760844,-0.008445774103398414,0.027847536330077464,0.0183584662827996,-0.03761197858768989,0.018792004769891416,0.05114506823082689,-0.019621352435812985,-0.02903594121056093,-0.012669435748649285,-0.020353234926936623,-0.022173690378133062,-0.006029054566899795,0.005269667315880833,0.01947615705314679,0.022684927478099137,0.008395843756200182,0.10680052364347314,0.05670134106970149,0.09513109332441944,0.3785697963414768,0.009938202253302149,0.01771894788399972,0.05519657594892147,0.3355261690811267,0.015392164601399142,0.020801115835130717,0.03713092500804778,0.006760189820595637,0.013000866060875587,0.45518479717650023,0.30189260677921725,0.030643329789530313,-0.010967702764652051,0.18979639910615873,0.2748700286446196,0.07523234579728269,0.08322472930133334,0.07534011427374371,0.024632818964744323,0.031453015874039265,0.0030754830647977305,-0.021846283306605242,-0.015698597020236644,0.02970305614527349,0.010619311830176306,0.05549343876204264,0.29627156067331156,0.05737271654732911,0.010958823164579337,0.09940941945903074,0.06290371340772437,0.15520232867769554,0.004240480328963426,0.007025473152205047
Swift,-0.0052702686590819425,-0.0052702686590819425,0.03655118310817737,0.03706400467910141,0.004461048646119133,0.02140703181133563,0.4697028902332428,0.03955012636685795,1.0,-0.0003916795486399727,0.004848148010856276,0.06299350526785953,-0.007468924228380806,0.019563523773865166,0.05377324610370098,0.00046657330105394487,-0.04122254733592977,-0.018911250645436636,0.0695068602181708,0.05576486740128423,-0.025363480473113847,0.03236342706111421,0.01739569016823013,0.006985558476259506,0.21920139826124013,0.0009905251117710715,0.011700358871768554,-0.007405528395705801,0.02155387334720953,-0.015070261930119797,0.10667032431829761,-0.017542721441946723,0.011977724255073667,-0.017641042047921426,0.020959227756088585,0.0157420426392985,0.0020358431458348102,0.04321288370728973,0.02856059649146305,0.025869177765578597,0.033104476223330986,0.018745328162580326,0.11447287947757791,0.010591973285626752,0.02520536251369828,0.026635823018648256,-0.03329477814297356,-0.006398795524239099,0.054796480745033994,0.004308495712844831,0.03592318499707762,0.0317476354047541,0.18892076823458634,0.0018386407805807998,-0.0016689471623326832,0.0434465693605274,0.02166702381510336,0.02242976640745883,0.0021850692281825354,0.012201023967661729,0.0007713421124061369,0.05232138742392804,0.034786031756201624,0.01381231496115734,0.01570546941561886,0.013030471628456025,-0.00802743581573971,-0.014209113856593611,0.016716388578336495,0.02643269376491927,-0.016968491382365617,0.025870016742375698,0.041711596752091684,0.05166921301286241,0.004599384191452157,0.034229230184522993,0.06568109890889162,0.06174378996389517,-0.00022959648769677984,0.023695704739949034
Python,-0.011257152539536243,-0.011257152539536243,0.034668892831953506,0.19605612255603228,-0.048641888991726695,-0.07946895481845151,-0.005293376923046869,0.0017540917169992063,-0.0003916795486399727,1.0,0.08868443599816843,0.20110480543133108,0.14246946853239664,0.11071784356029618,-0.0924199503630486,0.23983487351653246,0.010636750879162195,-0.16084171799899652,0.08169517126004108,0.023593716629733544,0.018776372857782678,-0.03131106342990721,0.0776817959751175,0.11335125550526856,0.024969881735974735,0.065267853221803,0.056438641760652185,-0.03089327152442871,0.1376726592308487,0.06630649104534118,0.019193207055465757,0.018751879919346147,0.05902047014239363,-0.02280940693085553,0.02288571920311944,0.04539080529949749,0.002496004862855368,-0.00988250614140593,-0.0032373510574065533,-0.010802658204010194,-0.004057912766899955,0.1438214867923155,0.13381239362939235,0.07951535214572156,0.050627137574978096,0.06926277932543948,-0.14092280239751045,0.0002522199778045029,0.06921768804941396,0.07428993893599364,0.0838647564280716,0.016100303482666774,-0.006572252235829386,0.032168562389533015,-0.0027224216344458258,-0.0014790507970241684,-0.0014202035131546528,-0.07696063463575584,0.35496966586352985,-0.008785987895345435,-0.07210595849541696,0.022249659596783142,-0.024190898428077808,-0.03638193963445836,-0.07365408005067221,0.2873260669912889,0.1658398991755522,-0.17042807131912405,0.0034503547943753477,0.012920452100175325,-0.15907687980578727,0.014889593854383308,-0.00516672482309509,0.012380260033343698,-0.06795622474286424,0.12199086037676014,0.09797232662975991,0.05093392734062731,0.01432205095239905,0.03342587818436017
