,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
Unnamed: 0,0.0,0.0,0.3952,0.0056,0.5713,0.2028,0.0739,0.7515,0.6411,0.3194,0.1018,0.001,0.0049,0.0,0.003,0.0355,0.4398,0.2064,0.5677,0.6523,0.2012,0.2146,0.1725,0.9575,0.0509,0.0,0.3032,0.0292,0.0088,0.3176,0.6929,0.2971,0.739,0.0,0.1307,0.0432,0.0466,0.3582,0.2977,0.4991,0.0361,0.4931,0.0091,0.524,0.3999,0.1279,0.897,0.5753,0.3636,0.8727,0.479,0.7113,0.2316,0.4922,0.3525,0.6346,0.7693,0.0669,0.5539,0.1014,0.6048,0.3112,0.1677,0.5848,0.1308,0.2559,0.4387,0.9354,0.2488,0.9121,0.8168,0.1487,0.4518,0.0405,0.7727,0.1925,0.0664,0.7261,0.6373,0.2251
ResponseId,0.0,0.0,0.3952,0.0056,0.5713,0.2028,0.0739,0.7515,0.6411,0.3194,0.1018,0.001,0.0049,0.0,0.003,0.0355,0.4398,0.2064,0.5677,0.6523,0.2012,0.2146,0.1725,0.9575,0.0509,0.0,0.3032,0.0292,0.0088,0.3176,0.6929,0.2971,0.739,0.0,0.1307,0.0432,0.0466,0.3582,0.2977,0.4991,0.0361,0.4931,0.0091,0.524,0.3999,0.1279,0.897,0.5753,0.3636,0.8727,0.479,0.7113,0.2316,0.4922,0.3525,0.6346,0.7693,0.0669,0.5539,0.1014,0.6048,0.3112,0.1677,0.5848,0.1308,0.2559,0.4387,0.9354,0.2488,0.9121,0.8168,0.1487,0.4518,0.0405,0.7727,0.1925,0.0664,0.7261,0.6373,0.2251
ConvertedCompYearly,0.3952,0.3952,0.0,0.0125,0.0,0.0,0.0001,0.0,0.0012,0.0022,0.1092,0.043,0.001,0.0,0.0433,0.0,0.0,0.0,0.0,0.8461,0.0,0.0,0.0669,0.0707,0.0017,0.4298,0.1736,0.0126,0.0,0.0,0.2872,0.0,0.0,0.0,0.0339,0.0564,0.3561,0.0,0.0,0.754,0.2735,0.0,0.2126,0.0,0.0,0.0,0.0,0.0,0.9956,0.1163,0.0,0.0151,0.1601,0.0,0.006,0.0,0.0031,0.0005,0.0205,0.0,0.0,0.9141,0.0195,0.0442,0.0,0.2601,0.0359,0.0,0.2379,0.0573,0.0,0.6942,0.0006,0.547,0.0413,0.0,0.0,0.7426,0.3609,0.0419
C++,0.0056,0.0056,0.0125,0.0,0.0,0.0,0.0,0.7525,0.001,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0011,0.0,0.0022,0.0075,0.0,0.0,0.0,0.3344,0.0,0.0013,0.0,0.0,0.3098,0.2178,0.0253,0.5978,0.0,0.7106,0.0016,0.0079,0.0147,0.4424,0.3635,0.0,0.0,0.0,0.0,0.0,0.7269,0.0,0.2094,0.2427,0.0189,0.0009,0.1126,0.4601,0.4174,0.8336,0.096,0.929,0.0008,0.0,0.0001,0.0001,0.0014,0.0,0.8779,0.0,0.0575,0.9299,0.0,0.0004,0.8268,0.0,0.0087,0.4446,0.0,0.0019,0.0,0.2332,0.1635,0.9168,0.1506
HTML/CSS,0.5713,0.5713,0.0,0.0,0.0,0.0,0.9006,0.0,0.6932,0.0,0.4388,0.0,0.0594,0.0425,0.0,0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.136,0.0092,0.0142,0.0007,0.7523,0.0487,0.799,0.0107,0.0023,0.0003,0.9359,0.0,0.3258,0.8129,0.7556,0.7648,0.744,0.0188,0.0207,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.1508,0.4748,0.0,0.3401,0.1654,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722,0.0,0.0391,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.7773,0.1696
JavaScript,0.2028,0.2028,0.0,0.0,0.0,0.0,0.0867,0.0,0.0583,0.0,0.0601,0.0,0.0,0.1841,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.8541,0.0,0.3143,0.0,0.8536,0.013,0.0155,0.1258,0.0,0.9947,0.2229,0.0004,0.2057,0.2111,0.1242,0.0004,0.2363,0.4158,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0628,0.0,0.0,0.0,0.0023,0.0,0.9676,0.8538,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567,0.5763
Objective-C,0.0739,0.0739,0.0001,0.0,0.9006,0.0867,0.0,0.0,0.0,0.6397,0.0004,0.0,0.6246,0.9913,0.0142,0.003,0.1251,0.4365,0.0,0.0,0.5767,0.001,0.0,0.6296,0.0,0.2498,0.7838,0.1332,0.0004,0.9044,0.0,0.475,0.3808,0.3088,0.0991,0.0279,0.8264,0.1248,0.1947,0.4056,0.0971,0.5415,0.0,0.3119,0.0171,0.0,0.2572,0.262,0.0001,0.0249,0.1261,0.0451,0.0,0.6021,0.5806,0.0,0.0001,0.7428,0.5353,0.1061,0.0784,0.0004,0.2119,0.0022,0.0719,0.1892,0.6527,0.5315,0.0998,0.2921,0.7276,0.0887,0.0,0.0001,0.1926,0.0127,0.001,0.0004,0.7673,0.0001
PHP,0.7515,0.7515,0.0,0.7525,0.0,0.0,0.0,0.0,0.0005,0.8767,0.3053,0.1901,0.1578,0.0234,0.0014,0.0,0.0,0.206,0.6088,0.0,0.0015,0.0453,0.0,0.5042,0.8585,0.2307,0.4551,0.0138,0.1044,0.0009,0.0965,0.0,0.0826,0.0102,0.2625,0.0718,0.0498,0.5939,0.6412,0.0849,0.0448,0.4577,0.0,0.0,0.0,0.0,0.3794,0.1171,0.0,0.0,0.1734,0.0658,0.001,0.5499,0.2502,0.0,0.0,0.0067,0.332,0.0,0.0,0.0,0.0,0.0,0.0293,0.0054,0.7856,0.0533,0.165,0.0086,0.3476,0.0,0.0,0.0,0.3324,0.0,0.0,0.0,0.7076,0.5344
Swift,0.6411,0.6411,0.0012,0.001,0.6932,0.0583,0.0,0.0005,0.0,0.9724,0.6681,0.0,0.5089,0.0835,0.0,0.9671,0.0003,0.0944,0.0,0.0,0.0249,0.0042,0.1239,0.5367,0.0,0.9302,0.3007,0.5125,0.0566,0.1825,0.0,0.1207,0.2894,0.1187,0.0637,0.1638,0.8571,0.0001,0.0115,0.0221,0.0034,0.0973,0.0,0.3488,0.0258,0.0185,0.0032,0.5714,0.0,0.7032,0.0015,0.005,0.0,0.8708,0.8827,0.0001,0.0553,0.0473,0.8468,0.2805,0.9456,0.0,0.0021,0.2218,0.1648,0.2491,0.4777,0.2088,0.1393,0.0194,0.1334,0.0221,0.0002,0.0,0.6842,0.0025,0.0,0.0,0.9838,0.0361
Python,0.3194,0.3194,0.0022,0.0,0.0,0.0,0.6397,0.8767,0.9724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3468,0.0,0.0,0.0369,0.0967,0.0056,0.0,0.0,0.0272,0.0,0.0,0.0063,0.0,0.0,0.0896,0.0972,0.0,0.0436,0.0429,0.0001,0.8253,0.3821,0.7746,0.3393,0.7197,0.0,0.0,0.0,0.0,0.0,0.0,0.9822,0.0,0.0,0.0,0.1544,0.561,0.0044,0.8097,0.8959,0.9,0.0,0.0,0.4371,0.0,0.0491,0.0324,0.0013,0.0,0.0,0.0,0.0,0.7602,0.2531,0.0,0.1878,0.6477,0.2735,0.0,0.0,0.0,0.0,0.2052,0.0031
