,ConvertedCompYearly,C++,HTML/CSS,JavaScript,PHP,Swift,Python,C,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Kotlin,Julia,Delphi,Go,Scala,Dart,Groovy,Clojure,Elixir,COBOL,PostgreSQL,Redis,Microsoft SQL Server,DynamoDB,Flask,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,Microsoft Azure,AWS,Google Cloud Platform
ConvertedCompYearly,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.43,0.01,0.00,0.00,0.29,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.02,0.00,0.91,0.02,0.04,0.00,0.26,0.04,0.00,0.00
C++,0.01,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.33,0.00,0.00,0.00,0.31,0.22,0.60,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.06,0.00,0.00,0.23
HTML/CSS,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.01,0.00,0.05,0.80,0.01,0.00,0.94,0.00,0.76,0.02,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JavaScript,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.01,0.02,0.13,0.00,0.22,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PHP,0.00,0.75,0.00,0.00,0.00,0.00,0.88,0.19,0.02,0.00,0.00,0.00,0.21,0.61,0.00,0.00,0.86,0.23,0.01,0.10,0.00,0.10,0.08,0.01,0.59,0.04,0.46,0.00,0.38,0.17,0.33,0.00,0.00,0.00,0.00,0.03,0.01,0.33,0.00,0.00
Swift,0.00,0.00,0.69,0.06,0.00,0.00,0.97,0.00,0.08,0.00,0.97,0.00,0.09,0.00,0.00,0.02,0.00,0.93,0.51,0.06,0.18,0.00,0.29,0.12,0.00,0.00,0.10,0.03,0.00,0.00,0.85,0.95,0.00,0.00,0.22,0.16,0.25,0.68,0.00,0.00
Python,0.00,0.00,0.00,0.00,0.88,0.97,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.04,0.10,0.03,0.00,0.01,0.00,0.00,0.09,0.00,0.04,0.38,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00
C,0.04,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.01,0.04,0.04,0.00,0.00,0.00,0.70,0.00,0.12,0.02,0.74,0.00,0.01,0.01,0.00,0.00,0.00,0.05,0.12,0.00,0.07,0.00,0.00,0.00,0.00,0.05
Rust,0.00,0.00,0.04,0.18,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.25,0.00,0.00,0.06,0.00,0.00,0.06,0.90,0.03,0.00,0.54,0.00,0.00,0.00,0.05,0.00,0.00,0.01,0.01,0.17,0.44,0.04,0.00,0.00,0.00
TypeScript,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.10,0.00,0.04,0.02,0.19,0.99,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.15,0.73,0.00,0.00,0.00
Bash/Shell,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.01,0.00,0.00,0.27,0.00,0.04,0.17,0.21,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.01,0.52,0.00,0.00,0.05,0.00,0.00
SQL,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.14,0.26,0.01,0.31,0.01,0.01,0.91,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
