,ConvertedCompYearly,C++,HTML/CSS,JavaScript,PHP,Swift,Python,C,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Kotlin,Julia,Delphi,Go,Scala,Dart,Groovy,Clojure,Elixir,COBOL,PostgreSQL,Redis,Microsoft SQL Server,DynamoDB,Flask,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,Microsoft Azure,AWS,Google Cloud Platform
ConvertedCompYearly,1.00,0.03,-0.13,-0.08,-0.11,0.04,0.03,0.02,0.06,0.02,0.08,-0.07,-0.10,0.07,0.00,-0.07,0.04,0.01,-0.03,0.14,0.10,-0.01,0.07,0.11,0.06,-0.01,0.11,0.13,-0.13,0.16,0.03,-0.10,0.00,0.03,-0.02,0.07,-0.01,-0.02,0.16,0.08
C++,0.03,1.00,-0.10,-0.13,0.00,0.04,0.20,0.53,0.13,-0.08,0.12,-0.10,0.04,0.06,-0.03,0.03,-0.01,0.05,0.05,0.06,-0.01,0.01,0.01,-0.05,-0.03,0.05,-0.06,-0.05,-0.09,-0.04,0.05,-0.05,-0.04,-0.11,0.00,-0.08,0.02,-0.04,-0.08,-0.01
HTML/CSS,-0.13,-0.10,1.00,0.56,0.19,0.00,-0.05,-0.07,-0.02,0.30,0.08,0.24,0.12,0.00,0.33,0.12,-0.03,-0.04,-0.02,0.00,-0.03,0.03,0.00,-0.05,0.00,0.03,0.07,0.10,0.13,0.02,0.03,0.31,0.20,0.26,0.16,0.08,0.07,0.11,0.04,0.07
JavaScript,-0.08,-0.13,0.56,1.00,0.20,0.02,-0.08,-0.10,-0.02,0.38,0.04,0.21,0.10,0.05,0.43,0.08,-0.01,-0.06,-0.03,0.03,-0.02,0.05,0.01,-0.04,0.04,0.03,0.13,0.16,0.11,0.07,0.03,0.33,0.26,0.38,0.17,0.13,0.06,0.11,0.14,0.10
PHP,-0.11,0.00,0.19,0.20,1.00,0.04,0.00,0.01,-0.03,0.04,0.07,0.16,-0.01,0.01,0.15,0.04,0.00,-0.01,0.03,0.02,-0.04,0.02,-0.02,-0.03,-0.01,0.02,0.01,0.10,0.01,0.02,-0.01,0.27,0.08,0.08,0.08,0.02,0.03,0.01,0.10,0.06
Swift,0.04,0.04,0.00,0.02,0.04,1.00,0.00,0.06,0.02,0.05,0.00,-0.04,-0.02,0.07,0.06,-0.03,0.22,0.00,-0.01,0.02,-0.02,0.11,0.01,-0.02,0.04,0.03,0.02,0.03,-0.03,0.04,0.00,0.00,0.05,0.03,0.01,0.02,0.01,0.00,0.03,0.07
Python,0.03,0.20,-0.05,-0.08,0.00,0.00,1.00,0.20,0.11,-0.09,0.24,0.01,-0.16,0.08,0.02,0.02,0.02,0.07,-0.03,0.14,0.07,0.02,0.06,-0.02,-0.01,0.00,0.14,0.05,-0.14,0.08,0.35,-0.07,0.02,-0.02,-0.04,-0.07,0.29,-0.07,0.12,0.10
C,0.02,0.53,-0.07,-0.10,0.01,0.06,0.20,1.00,0.18,-0.10,0.17,-0.08,-0.02,0.07,-0.03,0.02,0.02,0.04,0.04,0.11,0.00,0.03,0.02,-0.03,0.00,0.06,-0.03,-0.03,-0.09,-0.04,0.10,-0.02,-0.02,-0.10,-0.02,-0.05,0.04,-0.05,-0.05,0.02
Rust,0.06,0.13,-0.02,-0.02,-0.03,0.02,0.11,0.18,1.00,0.05,0.09,-0.04,-0.06,0.03,0.04,-0.01,0.07,0.05,-0.02,0.19,0.05,0.02,0.00,0.02,0.09,-0.01,0.10,0.06,-0.11,0.02,0.06,-0.07,0.03,0.03,-0.02,0.01,0.02,-0.03,0.05,0.07
TypeScript,0.02,-0.08,0.30,0.38,0.04,0.05,-0.09,-0.10,0.05,1.00,0.00,0.09,0.15,0.05,0.39,0.10,0.07,-0.03,-0.02,0.07,0.02,0.05,0.02,-0.03,0.01,0.00,0.10,0.14,0.09,0.11,-0.01,0.06,0.29,0.35,0.20,0.02,0.00,0.15,0.12,0.11
